id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,56,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,1304,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Departamental,18490002,4,VASQUEZ,,ALVARO,1598,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,2221,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Departamental,,997,TARJETAS NO MARCADAS,,,1228,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Departamental,,998,VOTOS NULOS,,,94,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Departamental,,999,VOTOS EN BLANCO,,,224,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5034,ANDES,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,291,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5034,ANDES,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,3709,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5034,ANDES,Departamental,18490002,4,VASQUEZ,,ALVARO,3550,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5034,ANDES,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,4739,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5034,ANDES,Departamental,,997,TARJETAS NO MARCADAS,,,3269,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5034,ANDES,Departamental,,998,VOTOS NULOS,,,245,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5034,ANDES,Departamental,,999,VOTOS EN BLANCO,,,823,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,19,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,954,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,18490002,4,VASQUEZ,,ALVARO,489,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,1240,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,,997,TARJETAS NO MARCADAS,,,414,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,,998,VOTOS NULOS,,,33,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,,999,VOTOS EN BLANCO,,,105,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,46,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,53,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,18490002,4,VASQUEZ,,ALVARO,1521,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,2449,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,,997,TARJETAS NO MARCADAS,,,465,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,,998,VOTOS NULOS,,,185,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,,999,VOTOS EN BLANCO,,,90,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5040,ANORI,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,47,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5040,ANORI,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,436,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5040,ANORI,Departamental,18490002,4,VASQUEZ,,ALVARO,1671,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5040,ANORI,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,1065,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5040,ANORI,Departamental,,997,TARJETAS NO MARCADAS,,,1012,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5040,ANORI,Departamental,,998,VOTOS NULOS,,,40,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5040,ANORI,Departamental,,999,VOTOS EN BLANCO,,,126,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,113,0
